subjid,session,block,trialno,texpr,validity,pexpr,stimf,sex,id,trgl,onset,dur,real_dur,corr_resp,subj_resp,accuracy,rt
mm_,1,0_scr_fac,34,fre,valid,fre,fre_scr_up/fre_m_46.mp4,m,m_46,up,0.157,5.400,5.243,,,,
mm_,1,0_scr_fac,27,fre,valid,fre,fre_scr_up/fre_m_20.mp4,m,m_20,up,5.570,5.400,5.230,,,,
subjid,session,block,trialno,texpr,validity,pexpr,stimf,sex,id,trgl,onset,dur,real_dur,corr_resp,subj_resp,accuracy,rt,autoresp,autort
mm_,1,0_em_fac,11,ekl,valid,ekl,ekl/ekl_w_56.mp4,w,w_56,,5.823,5.400,1.035,,1,false alarm,1.125,j,1.125
mm_,1,0_em_fac,9,ekl,valid,ekl,ekl/ekl_m_03.mp4,m,m_03,,115.077,5.400,1.026,,0,false alarm,0.825,f,0.825
mm_,1,0_em_fac,31,fre,valid,fre,fre/fre_m_09.mp4,m,m_09,,225.690,5.400,1.021,,99,false alarm,0.872,e,0.872
subjid,session,block,trialno,texpr,validity,pexpr,stimf,sex,id,trgl,onset,dur,real_dur,corr_resp,subj_resp,accuracy,rt,autoresp,autort
mm_,1,0_em_fac,35,fre,valid,fre,fre/fre_m_15.mp4,m,m_15,,14.549,5.400,1.025,,1,false alarm,1.255,j,1.255
mm_,1,0_nem_fac_f,20,ekl,valid,ekl,ekl/ekl_w_31.mp4,w,w_31,,0.059,5.400,5.341,,,,
mm_,1,0_nem_fac_f,51,fre,invalid,ekl,ekl/ekl_w_57.mp4,w,w_57,,5.457,5.400,5.343,,,,
mm_,1,0_nem_fac_e,5,neu,valid,neu,neu/neu_m_23.mp4,m,m_23,,0.136,5.400,5.264,,,,
mm_,1,0_nem_fac_e,4,neu,valid,neu,neu/neu_m_07.mp4,m,m_07,,0.060,5.400,5.340,,,,
mm_,1,0_nem_fac_f,22,neu,invalid,fre,fre/fre_m_33.mp4,m,m_33,,0.058,5.400,5.342,,,,
mm_,1,0_nem_fac_f,7,neu,valid,neu,neu/neu_m_23.mp4,m,m_23,,5.457,5.400,5.343,,,,
mm_,1,0_nem_fac_f,6,neu,valid,neu,neu/neu_m_38.mp4,m,m_38,,10.857,5.400,5.343,,,,
mm_,1,0_nem_fac_f,27,fre,valid,fre,fre/fre_m_21.mp4,m,m_21,,16.269,5.400,5.331,,,,
mm_,1,0_nem_fac_f,42,fre,valid,fre,fre/fre_w_37.mp4,w,w_37,,21.679,5.400,5.321,,,,
mm_,1,0_nem_fac_f,23,neu,invalid,fre,fre/fre_m_21.mp4,m,m_21,,27.058,5.400,5.342,,,,
mm_,1,0_nem_fac_f,40,fre,valid,fre,fre/fre_w_18.mp4,w,w_18,,32.457,5.400,5.343,,,,
mm_,1,0_nem_fac_f,29,fre,valid,fre,fre/fre_m_46.mp4,m,m_46,,0.060,5.400,5.340,,,,
mm_,1,0_em_fac,18,ekl,valid,ekl,ekl/ekl_m_20.mp4,m,m_20,,0.058,5.400,5.342,,,,
mm_,1,0_em_fac,54,ekl,valid,ekl,ekl/ekl_w_04.mp4,w,w_04,,5.458,5.400,5.342,,,,
mm_,1,0_em_fac,59,ekl,valid,ekl,ekl/ekl_w_61.mp4,w,w_61,,10.860,5.400,5.340,,,,
mm_,1,0_em_fac,31,ekl,valid,ekl,ekl/ekl_w_19.mp4,w,w_19,,16.275,5.400,5.325,,,,
mm_,1,0_em_fac,52,ekl,valid,ekl,ekl/ekl_w_01.mp4,w,w_01,,21.659,5.400,5.341,,,,
mm_,1,0_em_fac,36,ekl,valid,ekl,ekl/ekl_w_26.mp4,w,w_26,,27.059,5.400,5.341,,,,
mm_,1,0_em_fac,96,fre,valid,fre,fre/fre_m_15.mp4,m,m_15,,0.057,5.400,5.343,,,,
mm_,1,0_nem_fac_f,41,neu,valid,neu,neu/neu_w_12.mp4,w,w_12,,0.058,5.400,5.342,,,,
mm_,1,0_nem_fac_f,77,neu,invalid,fre,fre/fre_w_31.mp4,w,w_31,,0.067,5.400,5.333,,,,
mm_,1,0_nem_fac_f,101,fre,valid,fre,fre/fre_m_47.mp4,m,m_47,,0.076,5.400,5.324,,,,
mm_,1,0_em_fac,18,fre,valid,fre,fre/fre_w_37.mp4,w,w_37,,0.062,5.400,5.338,,,,
mm_,1,0_em_fac,8,ekl,valid,ekl,ekl/ekl_w_37.mp4,w,w_37,,5.460,5.400,5.340,,,,
mm_,1,0_em_fac,10,ekl,invalid,fre,fre/fre_w_26.mp4,w,w_26,,0.062,5.400,5.339,,,,
mm_,1,0_em_fac,6,ekl,valid,ekl,ekl/ekl_w_22.mp4,w,w_22,,5.460,5.400,5.340,,,,
mm_,1,0_em_fac,12,fre,valid,fre,fre/fre_m_15.mp4,m,m_15,,10.861,5.400,5.339,,,,
mm_,1,0_em_fac,3,ekl,valid,ekl,ekl/ekl_m_71.mp4,m,m_71,,16.258,5.400,5.342,,,,
mm_,1,0_em_fac,8,ekl,valid,ekl,ekl/ekl_w_37.mp4,w,w_37,,0.059,5.400,5.341,,,,
mm_,1,0_nem_fac_f,19,fre,invalid,neu,neu/neu_m_28.mp4,m,m_28,,0.094,5.400,5.306,,,,
mm_,1,0_nem_fac_f,5,neu,valid,neu,neu/neu_w_14.mp4,w,w_14,,5.501,5.400,5.299,,,,
mm_,1,0_nem_fac_f,20,fre,invalid,neu,neu/neu_w_02.mp4,w,w_02,,10.889,5.400,5.311,,,,
mm_,1,0_nem_fac_f,11,fre,valid,fre,fre/fre_m_49.mp4,m,m_49,,16.282,5.400,5.318,,,,
mm_,1,0_nem_fac_f,10,neu,invalid,fre,fre/fre_w_02.mp4,w,w_02,,21.688,5.400,5.312,,,,
mm_,1,0_nem_fac_f,15,fre,valid,fre,fre/fre_w_14.mp4,w,w_14,,27.085,5.400,5.315,,,,
mm_,1,0_nem_fac_f,14,fre,valid,fre,fre/fre_m_09.mp4,m,m_09,,32.479,5.400,5.322,,,,
mm_,1,0_nem_fac_f,16,fre,valid,fre,fre/fre_w_26.mp4,w,w_26,,37.881,5.400,5.319,,,,
mm_,1,0_nem_fac_f,12,fre,valid,fre,fre/fre_m_46.mp4,m,m_46,,43.279,5.400,5.321,,,,
mm_,1,0_nem_fac_f,17,fre,valid,fre,fre/fre_w_27.mp4,w,w_27,,48.688,5.400,5.312,,,,
mm_,1,0_nem_fac_f,13,fre,valid,fre,fre/fre_m_21.mp4,m,m_21,,54.082,5.400,5.318,,,,
mm_,1,0_nem_fac_f,3,neu,valid,neu,neu/neu_m_21.mp4,m,m_21,,59.482,5.400,5.318,,,,
mm_,1,0_nem_fac_f,8,neu,valid,neu,neu/neu_w_22.mp4,w,w_22,,64.888,5.400,5.312,,,,
mm_,1,0_nem_fac_f,18,fre,valid,fre,fre/fre_w_22.mp4,w,w_22,,70.283,5.400,5.317,,,,
mm_,1,0_nem_fac_f,7,neu,valid,neu,neu/neu_w_27.mp4,w,w_27,,75.687,5.400,5.313,,,,
mm_,1,0_nem_fac_f,2,neu,valid,neu,neu/neu_m_46.mp4,m,m_46,,81.084,5.400,5.316,,,,
mm_,1,0_nem_fac_f,9,neu,invalid,fre,fre/fre_m_28.mp4,m,m_28,,86.491,5.400,5.309,,,,
mm_,1,0_nem_fac_f,1,neu,valid,neu,neu/neu_m_49.mp4,m,m_49,,91.884,5.400,5.316,,,,
mm_,1,0_nem_fac_f,4,neu,valid,neu,neu/neu_m_09.mp4,m,m_09,,97.279,5.400,5.321,,,,
mm_,1,0_nem_fac_f,6,neu,valid,neu,neu/neu_w_26.mp4,w,w_26,,102.681,5.400,5.320,,,,
mm_,1,1_nem_fac_e,3,neu,valid,neu,neu/neu_m_30.mp4,m,m_30,,0.079,5.400,5.321,,,,
mm_,1,1_nem_fac_e,9,neu,invalid,ekl,ekl/ekl_m_38.mp4,m,m_38,,5.482,5.400,5.318,,,,
mm_,1,1_nem_fac_e,7,neu,valid,neu,neu/neu_w_18.mp4,w,w_18,,10.885,5.400,6.178,,,,
mm_,1,1_nem_fac_e,5,neu,valid,neu,neu/neu_w_02.mp4,w,w_02,,17.175,5.400,4.425,,,,
mm_,1,1_nem_fac_e,15,ekl,valid,ekl,ekl/ekl_w_02.mp4,w,w_02,,21.680,5.400,5.320,,,,
mm_,1,1_nem_fac_e,10,neu,invalid,ekl,ekl/ekl_w_14.mp4,w,w_14,,27.080,5.400,5.321,,,,
mm_,1,1_nem_fac_e,4,neu,valid,neu,neu/neu_m_24.mp4,m,m_24,,32.485,5.400,5.315,,,,
mm_,1,1_nem_fac_e,6,neu,valid,neu,neu/neu_w_22.mp4,w,w_22,,37.880,5.400,5.321,,,,
mm_,1,1_nem_fac_e,20,ekl,invalid,neu,neu/neu_w_14.mp4,w,w_14,,43.287,5.400,5.313,,,,
mm_,1,1_nem_fac_e,2,neu,valid,neu,neu/neu_m_09.mp4,m,m_09,,48.678,5.400,5.322,,,,
