subjid,session,block,trialno,texpr,validity,pexpr,stimf,sex,id,trgl,onset,dur,real_dur,corr_resp,subj_resp,accuracy,rt
mm_dr,1,0_em_fac,9,ekl,valid,ekl,ekl/ekl_m_05.mp4,m,m_05,,0.271,5.400,5.129,,,,
mm_dr,1,0_em_fac,59,fre,valid,fre,fre/fre_w_37.mp4,w,w_37,,5.623,5.400,5.177,,,,
mm_dr,1,0_em_fac,58,fre,valid,fre,fre/fre_w_01.mp4,w,w_01,,10.989,5.400,5.211,,,,
mm_dr,1,0_em_fac,63,fre,invalid,ekl,ekl/ekl_m_25.mp4,m,m_25,,16.391,5.400,5.209,,,,
mm_dr,1,0_em_fac,62,fre,invalid,ekl,ekl/ekl_m_21.mp4,m,m_21,,21.709,5.400,5.291,,,,
mm_dr,1,0_em_fac,31,ekl,invalid,fre,fre/fre_w_14.mp4,w,w_14,,27.173,5.400,5.227,,,,
mm_dr,1,0_em_fac,22,ekl,invalid,fre,fre/fre_m_21.mp4,m,m_21,,32.591,5.400,5.209,,,,
mm_dr,1,0_em_fac,79,fre,invalid,ekl,ekl/ekl_w_37.mp4,w,w_37,,37.978,5.400,5.222,,,,
mm_dr,1,0_em_fac,1,ekl,valid,ekl,ekl/ekl_m_38.mp4,m,m_38,,43.307,5.400,5.293,,,,
mm_dr,1,0_em_fac,13,ekl,valid,ekl,ekl/ekl_w_57.mp4,w,w_57,,48.786,5.400,5.214,,,,
mm_dr,1,0_em_fac,27,ekl,invalid,fre,fre/fre_m_33.mp4,m,m_33,,54.180,5.400,5.220,,,,
mm_dr,1,0_em_fac,8,ekl,valid,ekl,ekl/ekl_m_47.mp4,m,m_47,,59.502,5.400,5.298,,,,
mm_dr,1,0_em_fac,70,fre,invalid,ekl,ekl/ekl_m_47.mp4,m,m_47,,64.892,5.400,5.308,,,,
mm_dr,1,0_em_fac,25,ekl,invalid,fre,fre/fre_m_09.mp4,m,m_09,,70.384,5.400,5.216,,,,
mm_dr,1,0_em_fac,26,ekl,invalid,fre,fre/fre_m_28.mp4,m,m_28,,75.775,5.400,5.225,,,,
mm_dr,1,0_em_fac,18,ekl,valid,ekl,ekl/ekl_w_01.mp4,w,w_01,,81.173,5.400,5.227,,,,
mm_dr,1,0_em_fac,77,fre,invalid,ekl,ekl/ekl_w_61.mp4,w,w_61,,86.587,5.400,5.213,,,,
mm_dr,1,0_em_fac,71,fre,invalid,ekl,ekl/ekl_w_14.mp4,w,w_14,,91.890,5.400,5.311,,,,
mm_dr,1,0_em_fac,50,fre,valid,fre,fre/fre_m_46.mp4,m,m_46,,97.310,5.400,5.291,,,,
mm_dr,1,0_em_fac,34,ekl,invalid,fre,fre/fre_w_31.mp4,w,w_31,,102.755,5.400,5.245,,,,
mm_dr,1,0_em_fac,38,ekl,invalid,fre,fre/fre_w_04.mp4,w,w_04,,108.181,5.400,5.219,,,,
mm_dr,1,0_em_fac,53,fre,valid,fre,fre/fre_w_57.mp4,w,w_57,,113.605,5.400,5.195,,,,
mm_dr,1,0_em_fac,24,ekl,invalid,fre,fre/fre_m_07.mp4,m,m_07,,118.996,5.400,5.204,,,,
mm_dr,1,0_em_fac,21,ekl,invalid,fre,fre/fre_m_15.mp4,m,m_15,,124.386,5.400,5.214,,,,
mm_dr,1,0_em_fac,56,fre,valid,fre,fre/fre_w_02.mp4,w,w_02,,129.705,5.400,5.295,,,,
mm_dr,1,0_em_fac,45,fre,valid,fre,fre/fre_m_24.mp4,m,m_24,,135.175,5.400,5.225,,,,
mm_dr,1,0_em_fac,67,fre,invalid,ekl,ekl/ekl_m_33.mp4,m,m_33,,140.498,5.400,5.302,,,,
mm_dr,1,0_em_fac,11,ekl,valid,ekl,ekl/ekl_w_26.mp4,w,w_26,,145.969,5.400,5.231,,,,
mm_dr,1,0_em_fac,19,ekl,valid,ekl,ekl/ekl_w_37.mp4,w,w_37,,151.296,5.400,5.304,,,,
mm_dr,1,0_em_fac,28,ekl,invalid,fre,fre/fre_m_10.mp4,m,m_10,,156.789,5.400,5.211,,,,
mm_dr,1,0_em_fac,17,ekl,valid,ekl,ekl/ekl_w_22.mp4,w,w_22,,162.190,5.400,5.210,,,,
mm_dr,1,0_em_fac,69,fre,invalid,ekl,ekl/ekl_m_05.mp4,m,m_05,,167.494,5.400,5.306,,,,
mm_dr,1,0_em_fac,10,ekl,valid,ekl,ekl/ekl_m_46.mp4,m,m_46,,172.972,5.400,5.228,,,,
mm_dr,1,0_em_fac,64,fre,invalid,ekl,ekl/ekl_m_07.mp4,m,m_07,,178.386,5.400,5.215,,,,
mm_dr,1,0_em_fac,47,fre,valid,fre,fre/fre_m_25.mp4,m,m_25,,183.784,5.400,5.216,,,,
mm_dr,1,0_em_fac,4,ekl,valid,ekl,ekl/ekl_m_03.mp4,m,m_03,,189.078,5.400,5.322,,,,
mm_dr,1,0_em_fac,55,fre,valid,fre,fre/fre_w_61.mp4,w,w_61,,194.584,5.400,5.216,,,,
mm_dr,1,0_em_fac,43,fre,valid,fre,fre/fre_m_10.mp4,m,m_10,,199.897,5.400,5.303,,,,
mm_dr,1,0_em_fac,29,ekl,invalid,fre,fre/fre_m_05.mp4,m,m_05,,205.311,5.400,5.289,,,,
mm_dr,1,0_em_fac,76,fre,invalid,ekl,ekl/ekl_w_32.mp4,w,w_32,,210.784,5.400,5.216,,,,
mm_dr,1,0_em_fac,78,fre,invalid,ekl,ekl/ekl_w_04.mp4,w,w_04,,216.183,5.400,5.217,,,,
mm_dr,1,0_em_fac,42,fre,valid,fre,fre/fre_m_49.mp4,m,m_49,,221.505,5.400,5.296,,,,
mm_dr,1,0_em_fac,75,fre,invalid,ekl,ekl/ekl_w_57.mp4,w,w_57,,226.893,5.400,5.308,,,,
mm_dr,1,0_em_fac,5,ekl,valid,ekl,ekl/ekl_m_24.mp4,m,m_24,,232.378,5.400,5.223,,,,
mm_dr,1,0_em_fac,30,ekl,invalid,fre,fre/fre_m_47.mp4,m,m_47,,237.778,5.400,5.222,,,,
mm_dr,1,0_em_fac,7,ekl,valid,ekl,ekl/ekl_m_25.mp4,m,m_25,,243.100,5.400,5.300,,,,
mm_dr,1,0_em_fac,23,ekl,invalid,fre,fre/fre_m_25.mp4,m,m_25,,248.485,5.400,5.316,,,,
mm_dr,1,0_em_fac,74,fre,invalid,ekl,ekl/ekl_w_31.mp4,w,w_31,,253.974,5.400,5.226,,,,
mm_dr,1,0_em_fac,41,fre,valid,fre,fre/fre_m_38.mp4,m,m_38,,259.296,5.400,5.304,,,,
mm_dr,1,0_em_fac,73,fre,invalid,ekl,ekl/ekl_w_18.mp4,w,w_18,,264.777,5.400,5.223,,,,
mm_dr,1,0_em_fac,60,fre,valid,fre,fre/fre_w_14.mp4,w,w_14,,270.091,5.400,5.309,,,,
mm_dr,1,0_em_fac,16,ekl,valid,ekl,ekl/ekl_w_02.mp4,w,w_02,,275.576,5.400,5.224,,,,
mm_dr,1,0_em_fac,2,ekl,valid,ekl,ekl/ekl_m_49.mp4,m,m_49,,280.985,5.400,5.215,,,,
mm_dr,1,0_em_fac,80,fre,invalid,ekl,ekl/ekl_w_02.mp4,w,w_02,,286.285,5.400,5.316,,,,
mm_dr,1,0_em_fac,51,fre,valid,fre,fre/fre_w_26.mp4,w,w_26,,291.787,5.400,5.213,,,,
mm_dr,1,0_em_fac,35,ekl,invalid,fre,fre/fre_w_57.mp4,w,w_57,,297.092,5.400,5.308,,,,
mm_dr,1,0_em_fac,65,fre,invalid,ekl,ekl/ekl_m_09.mp4,m,m_09,,302.582,5.400,5.218,,,,
mm_dr,1,0_em_fac,57,fre,valid,fre,fre/fre_w_22.mp4,w,w_22,,307.992,5.400,5.208,,,,
mm_dr,1,0_em_fac,61,fre,invalid,ekl,ekl/ekl_m_15.mp4,m,m_15,,313.301,5.400,5.299,,,,
mm_dr,1,0_em_fac,39,ekl,invalid,fre,fre/fre_w_37.mp4,w,w_37,,318.694,5.400,5.306,,,,
mm_dr,1,0_em_fac,52,fre,valid,fre,fre/fre_w_08.mp4,w,w_08,,324.092,5.400,5.308,,,,
mm_dr,1,0_em_fac,15,ekl,valid,ekl,ekl/ekl_w_61.mp4,w,w_61,,329.478,5.400,5.323,,,,
mm_dr,1,0_em_fac,9,fre,valid,fre,fre/fre_m_46.mp4,m,m_46,,0.077,5.400,5.323,,,,
mm_dr,1,0_em_fac,8,ekl,invalid,fre,fre/fre_w_31.mp4,w,w_31,,5.477,5.400,5.323,,,,
mm_dr,1,0_em_fac,12,fre,valid,fre,fre/fre_w_27.mp4,w,w_27,,10.880,5.400,5.320,,,,
mm_dr,1,0_em_fac,14,fre,valid,fre,fre/fre_w_01.mp4,w,w_01,,16.277,5.400,5.323,,,,
mm_dr,1,0_em_fac,5,ekl,valid,ekl,ekl/ekl_w_32.mp4,w,w_32,,21.675,5.400,5.325,,,,
mm_dr,1,0_em_fac,11,fre,valid,fre,fre/fre_m_47.mp4,m,m_47,,27.076,5.400,5.324,,,,
mm_dr,1,0_em_fac,7,ekl,invalid,fre,fre/fre_m_25.mp4,m,m_25,,32.475,5.400,5.325,,,,
mm_dr,1,0_em_fac,3,ekl,valid,ekl,ekl/ekl_m_47.mp4,m,m_47,,37.883,5.400,5.317,,,,
mm_dr,1,0_em_fac,4,ekl,valid,ekl,ekl/ekl_w_27.mp4,w,w_27,,43.369,5.400,5.231,,,,
mm_dr,1,0_em_fac,13,fre,valid,fre,fre/fre_w_32.mp4,w,w_32,,48.678,5.400,5.322,,,,
mm_dr,1,0_em_fac,10,fre,valid,fre,fre/fre_m_38.mp4,m,m_38,,54.079,5.400,5.321,,,,
mm_dr,1,0_em_fac,15,fre,invalid,ekl,ekl/ekl_m_25.mp4,m,m_25,,59.486,5.400,5.314,,,,
mm_dr,1,0_em_fac,16,fre,invalid,ekl,ekl/ekl_w_31.mp4,w,w_31,,64.878,5.400,5.322,,,,
mm_dr,1,0_em_fac,6,ekl,valid,ekl,ekl/ekl_w_01.mp4,w,w_01,,70.283,5.400,5.317,,,,
mm_dr,1,0_em_fac,2,ekl,valid,ekl,ekl/ekl_m_38.mp4,m,m_38,,75.688,5.400,5.312,,,,
mm_dr,1,0_em_fac,1,ekl,valid,ekl,ekl/ekl_m_46.mp4,m,m_46,,81.093,5.400,5.307,,,,
mm_dr,1,1_nem_fac_e,14,ekl,valid,ekl,ekl/ekl_w_08.mp4,w,w_08,,0.112,5.400,5.288,,,,
mm_dr,1,1_nem_fac_e,3,neu,valid,neu,neu/neu_m_03.mp4,m,m_03,,5.566,5.400,5.234,,,,
mm_dr,1,1_nem_fac_e,2,neu,valid,neu,neu/neu_m_23.mp4,m,m_23,,10.971,5.400,5.229,,,,
mm_dr,1,1_nem_fac_e,6,neu,valid,neu,neu/neu_w_08.mp4,w,w_08,,16.376,5.400,5.224,,,,
mm_dr,1,1_nem_fac_e,7,neu,invalid,ekl,ekl/ekl_m_07.mp4,m,m_07,,21.682,5.400,5.318,,,,
mm_dr,1,1_nem_fac_e,12,ekl,valid,ekl,ekl/ekl_w_01.mp4,w,w_01,,27.088,5.400,5.312,,,,
mm_dr,1,1_nem_fac_e,11,ekl,valid,ekl,ekl/ekl_m_03.mp4,m,m_03,,32.480,5.400,5.320,,,,
mm_dr,1,1_nem_fac_e,10,ekl,valid,ekl,ekl/ekl_m_23.mp4,m,m_23,,37.985,5.400,5.215,,,,
mm_dr,1,1_nem_fac_e,1,neu,valid,neu,neu/neu_m_05.mp4,m,m_05,,43.374,5.400,5.226,,,,
mm_dr,1,1_nem_fac_e,5,neu,valid,neu,neu/neu_w_22.mp4,w,w_22,,48.693,5.400,5.307,,,,
mm_dr,1,1_nem_fac_e,9,ekl,valid,ekl,ekl/ekl_m_05.mp4,m,m_05,,54.089,5.400,5.311,,,,
mm_dr,1,1_nem_fac_e,8,neu,invalid,ekl,ekl/ekl_w_01.mp4,w,w_01,,59.487,5.400,5.313,,,,
