subjid,session,trialno,texpr,validity,pexpr,stimf,sex,id,onset,dur,corr_resp,subj_resp,accuracy,rt
mm_,1,129,fre,valid,fre,fre99w61.avi,9,9w,0.156,0.800,1,,miss,
mm_,1,82,ekl,valid,ekl,ekl99w56.avi,9,9w,0.871,0.800,1,,miss,
mm_,1,72,ekl,valid,ekl,ekl99m38.avi,9,9m,1.685,0.800,1,,miss,
mm_,1,59,ekl,valid,ekl,ekl99w08.avi,9,9w,2.470,0.800,1,,miss,
mm_,1,47,fre,valid,fre,fre99w08.avi,9,9w,3.268,0.800,1,,miss,
mm_,1,89,fre,valid,fre,fre99w22.avi,9,9w,4.069,0.800,1,,miss,
mm_,1,106,ekl,invalid,fre,fre99m47.avi,9,9m,4.869,0.800,1,,miss,
mm_,1,24,fre,invalid,ekl,ekl99m09.avi,9,9m,5.662,0.800,1,,miss,
mm_,1,153,ekl,valid,ekl,ekl99w58.avi,9,9w,6.467,0.800,1,,miss,
mm_,1,11,ekl,valid,ekl,ekl99w12.avi,9,9w,7.341,0.800,1,,miss,
mm_,1,42,fre,valid,fre,fre99w12.avi,9,9w,8.052,0.800,1,,miss,
mm_,1,23,fre,invalid,ekl,ekl99m24.avi,9,9m,8.870,0.800,1,,miss,
mm_,1,8,fre,valid,fre,fre99m21.avi,9,9m,9.664,0.800,1,,miss,
mm_,1,87,ekl,invalid,fre,fre99m24.avi,9,9m,10.468,0.800,1,,miss,
mm_,1,80,ekl,valid,ekl,ekl99m33.avi,9,9m,11.274,0.800,1,,miss,
mm_,1,5,fre,invalid,ekl,ekl99m71.avi,9,9m,12.074,0.800,1,,miss,
mm_,1,96,fre,invalid,ekl,ekl99m15.avi,9,9m,12.870,0.800,1,,miss,
mm_,1,30,ekl,valid,ekl,ekl99m28.avi,9,9m,13.668,0.800,1,,miss,
mm_,1,65,ekl,valid,ekl,ekl99m49.avi,9,9m,14.490,0.800,1,,miss,
mm_,1,29,fre,invalid,ekl,ekl99m71.avi,9,9m,15.253,0.800,1,,miss,
mm_,1,127,fre,valid,fre,fre99w56.avi,9,9w,16.068,0.800,1,,miss,
mm_,1,19,fre,invalid,ekl,ekl99m20.avi,9,9m,16.854,0.800,1,,miss,
mm_,1,9,fre,valid,fre,fre99m10.avi,9,9m,17.668,0.800,1,,miss,
mm_,1,98,ekl,valid,ekl,ekl99w61.avi,9,9w,18.469,0.800,1,,miss,
mm_,1,102,ekl,valid,ekl,ekl99w27.avi,9,9w,19.261,0.800,1,,miss,
mm_,1,51,fre,invalid,ekl,ekl99m07.avi,9,9m,20.072,0.800,1,,miss,
mm_,1,136,fre,valid,fre,fre99w12.avi,9,9w,20.853,0.800,1,,miss,
mm_,1,32,fre,valid,fre,fre99m25.avi,9,9m,21.670,0.800,1,,miss,
mm_,1,130,ekl,invalid,fre,fre99m71.avi,9,9m,22.496,0.800,1,,miss,
mm_,1,31,fre,valid,fre,fre99m24.avi,9,9m,23.253,0.800,1,,miss,
mm_,1,36,fre,valid,fre,fre99w12.avi,9,9w,24.054,0.800,1,,miss,
mm_,1,124,ekl,valid,ekl,ekl99m07.avi,9,9m,24.860,0.800,1,,miss,
mm_,1,16,fre,valid,fre,fre99m47.avi,9,9m,25.654,0.800,1,,miss,
mm_,1,146,fre,valid,fre,fre99w04.avi,9,9w,26.488,0.800,1,,miss,
mm_,1,103,fre,valid,fre,fre99w04.avi,9,9w,27.254,0.800,1,,miss,
mm_,1,20,fre,valid,fre,fre99m71.avi,9,9m,28.060,0.800,1,,miss,
mm_,1,121,fre,valid,fre,fre99m33.avi,9,9m,28.870,0.800,1,,miss,
mm_,1,63,ekl,invalid,fre,fre99m21.avi,9,9m,29.650,0.800,1,,miss,
mm_,1,39,ekl,valid,ekl,ekl99w26.avi,9,9w,30.617,0.800,1,,miss,
mm_,1,125,fre,invalid,ekl,ekl99m20.avi,9,9m,31.254,0.800,1,,miss,
mm_,1,148,fre,invalid,ekl,ekl99m28.avi,9,9m,32.052,0.800,1,,miss,
mm_,1,78,ekl,valid,ekl,ekl99w32.avi,9,9w,32.894,0.800,1,,miss,
mm_,1,101,fre,valid,fre,fre99m07.avi,9,9m,33.726,0.800,1,,miss,
mm_,1,84,ekl,valid,ekl,ekl99w26.avi,9,9w,34.451,0.800,1,,miss,
mm_,1,41,ekl,valid,ekl,ekl99m03.avi,9,9m,35.256,0.800,1,,miss,
mm_,1,50,ekl,invalid,fre,fre99m09.avi,9,9m,36.063,0.800,1,,miss,
mm_,1,133,fre,valid,fre,fre99m05.avi,9,9m,36.851,0.800,1,,miss,
mm_,1,88,fre,valid,fre,fre99w61.avi,9,9w,37.652,0.800,1,,miss,
mm_,1,83,fre,valid,fre,fre99m20.avi,9,9m,38.481,0.800,1,,miss,
mm_,1,66,ekl,valid,ekl,ekl99m23.avi,9,9m,39.269,0.800,1,,miss,
